"id","fecha","ejecutor","resultado_obtenido","estado","defecto","evidencia"
"CP-01","","","","PENDIENTE","",""
"CP-02","","","","PENDIENTE","",""
"CP-03","","","","PENDIENTE","",""
"CP-04","","","","PENDIENTE","",""
"CP-05","","","","PENDIENTE","",""
"CP-06","","","","PENDIENTE","",""
"CP-07","","","","PENDIENTE","",""
"CP-08","","","","PENDIENTE","",""
"CP-09","","","","PENDIENTE","",""
"CP-10","","","","PENDIENTE","",""
"CP-11","","","","PENDIENTE","",""
"CP-12","","","","PENDIENTE","",""
"CP-13","","","","PENDIENTE","",""
"CP-14","","","","PENDIENTE","",""
"CP-15","","","","PENDIENTE","",""
"CP-16","","","","PENDIENTE","",""
"CP-17","","","","PENDIENTE","",""
"CP-18","","","","PENDIENTE","",""
"CP-19","","","","PENDIENTE","",""
"CP-20","","","","PENDIENTE","",""
"CP-21","","","","PENDIENTE","",""
"CP-22","","","","PENDIENTE","",""
"CP-23","","","","PENDIENTE","",""
"CP-24","","","","PENDIENTE","",""
"CP-25","","","","PENDIENTE","",""
"CP-26","","","","PENDIENTE","",""
"CP-27","","","","PENDIENTE","",""
"CP-28","","","","PENDIENTE","",""
"CP-29","","","","PENDIENTE","",""
"CP-30","","","","PENDIENTE","",""
"CP-31","","","","PENDIENTE","",""
"CP-32","","","","PENDIENTE","",""
"CP-33","","","","PENDIENTE","",""
"CP-34","","","","PENDIENTE","",""
"CP-35","","","","PENDIENTE","",""
"CP-36","","","","PENDIENTE","",""
