requerimiento,casos_de_prueba,ejecucion,defecto,estado
RF-01,"CP-01; CP-02; CP-03; CP-04; CP-05; CP-06; CP-10; CP-11; CP-12; CP-13; CP-14",PENDIENTE,,PENDIENTE
RF-02,"CP-07; CP-17; CP-18",PENDIENTE,,PENDIENTE
RF-03,"CP-20; CP-34; CP-35",PENDIENTE,,PENDIENTE
RF-04,"CP-19; CP-21; CP-23; CP-33",PENDIENTE,,PENDIENTE
RF-05,"CP-28",PENDIENTE,,PENDIENTE
RF-06,"CP-24; CP-25; CP-32",PENDIENTE,,PENDIENTE
RF-07,"CP-15; CP-26; CP-29",PENDIENTE,,PENDIENTE
RF-08,"CP-16; CP-27; CP-30; CP-31",PENDIENTE,,PENDIENTE
RF-09,"CP-08",PENDIENTE,,PENDIENTE
RF-10,"CP-09; CP-36",PENDIENTE,,PENDIENTE
